PRINT LIST,Rev. Statues,"T 
PURPOSE",UNIT,Doc.Type,"WORK 
CAT.",SUBJ,Document No.,Document Title,Rev.,"Doc.
Purpose",TN No.,TN Date,Statues,Remarks,New Rev On TPLANET,Site Manager,PREV,QA-QC,Material Control,Survey,Admin,Scaffold,Piping E. (13),Piping F. (13),"Underg.
 (14)","South
CON.
Manager",Civil N&S (17),PRE CAST UG ,"Elec. & Instro.
 (15 & 16)","SST
 (18)","Insulation
 (22)","Painting
(23)",Tanks ,"Flare
Manager","Mec. Erction
 (68)"
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-003-07,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A01-03 FROM EL.
116500 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-003-08,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A01-03 FROM EL.
118600 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-004-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A01-04 FROM EL.
109000 TO 112500",0,IFC1,T-TP-PTJ-00742,4/14/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
,P,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-005-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A01-05 FROM EL.
109000 TO 112500",0,IFC1,T-TP-PTJ-00742,4/14/2023,Rev-up,,,,,,,,,,,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-005-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A01-05 FROM EL.
109000 TO 112500",1,IFC1,T-TP-PTJ-00761,6/9/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
,P,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-006-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A01-06 FROM EL.
109000 TO 112500",0,IFC1,T-TP-PTJ-00742,4/14/2023,Rev-up,,,,,,,,,,,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-006-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A01-06 FROM EL.
109000 TO 112500",1,IFC1,T-TP-PTJ-00761,6/9/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
109000 TO 111700",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
111700 TO 114900",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
114900 TO 117800",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
117800 TO 120700",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-05,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
120700 TO 124500",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-06,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
124500 TO 125900",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-07,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
125900 TO 131500",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-08,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
131500 TO 147500",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-007-09,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-01 FROM EL.
147500 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-008-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-02 FROM EL.
109000 TO 110600",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-008-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-02 FROM EL.
110600 TO 113000",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-008-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-02 FROM EL.
113000 TO 115100",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-008-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-02 FROM EL.
115100 TO 119200",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-008-05,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-02 FROM EL.
119200 TO 123500",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-008-06,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-02 FROM EL.
123500 TO 127100",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-008-07,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-02 FROM EL.
127100 TO 130200",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-008-08,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-02 FROM EL.
130200 TO UPPER",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-009-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-03 FROM EL.
109000 TO 112500",0,IFC1,T-TP-PTJ-00742,4/14/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-010-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A02-04 FROM EL.
109000 TO 112500",0,IFC1,T-TP-PTJ-00742,4/14/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-011-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-01 FROM EL.
109000 TO 111100",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-011-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-01 FROM EL.
111100 TO 113000",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-011-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-01 FROM EL.
113000 TO 115600",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-011-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-01 FROM EL.
115600 TO 116800",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-011-05,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-01 FROM EL.
116800 TO 118900",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-011-06,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-01 FROM EL.
118900 TO 123100",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-011-07,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-01 FROM EL.
123100 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
109000 TO 111200",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
111200 TO 113300",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
113300 TO 116500",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
116500 TO 118400",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-05,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
118400 TO 121300",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-06,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
121300 TO 124300",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-07,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
124300 TO 127400",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-08,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
127400 TO 131600",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-09,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
131600 TO 135500",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-10,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
135500 TO 137900",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-11,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
137900 TO 140000",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-12,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
140000 TO 156400",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-012-13,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-02 FROM EL.
156400 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-013-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-03 FROM EL.
109000 TO 111800",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-013-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-03 FROM EL.
111800 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-014-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-04 FROM EL.
109000 TO 112500",0,IFC1,T-TP-PTJ-00742,4/14/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-015-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-05 FROM EL.
109000 TO 112500",0,IFC1,T-TP-PTJ-00742,4/14/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-016-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-06 FROM EL.
109000 TO 112500",0,IFC1,T-TP-PTJ-00742,4/14/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-017-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A03-07 FROM EL.
109000 TO 113800",0,IFC1,T-TP-PTJ-00742,4/14/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-018-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A04-01 FROM EL.
109000 TO 114700",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-018-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A04-01 FROM EL.
114700 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-019-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A04-02 FROM EL.
109000 TO 111900",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-019-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A04-02 FROM EL.
111900 TO 113900",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-019-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A04-02 FROM EL.
113900 TO 117400",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-019-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A04-02 FROM EL.
117400 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-020-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A04-03 FROM EL.
109000 TO 112000",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-020-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A04-03 FROM EL.
112000 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-021-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-01 FROM EL.
108200 TO 111300",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-021-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-01 FROM EL.
111300 TO 112400",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-021-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-01 FROM EL.
112400 TO 113300",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-021-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-01 FROM EL.
113300 TO 115700",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-021-05,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-01 FROM EL.
115700 TO 119900",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-021-06,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-01 FROM EL.
119900 TO 125000",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-021-07,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-01 FROM EL.
125000 TO UPPER",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-022-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-02 FROM EL.
109000 TO 111400",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-022-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-02 FROM EL.
111400 TO 112700",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-022-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-02 FROM EL.
112700 TO 114400",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-022-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-02 FROM EL.
114400 TO 116500",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-022-05,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-02 FROM EL.
116500 TO 117700",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-022-06,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-02 FROM EL.
117700 TO 120200",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-022-07,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-02 FROM EL.
120200 TO 124500",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-022-08,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-02 FROM EL.
124500 TO UPPER",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-023-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-03 FROM EL.
109000 TO 111600",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-023-02,"109000 TO 111600
GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-03 FROM EL.
111600 TO 112900",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-023-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-03 FROM EL.
112900 TO 114100",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-023-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-03 FROM EL.
114100 TO 117300",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-023-05,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-03 FROM EL.
117300 TO 120500",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-023-06,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-03 FROM EL.
120500 TO 122300",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-023-07,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-03 FROM EL.
122300 TO UPPER",0,IFC1,T-TP-PTJ-00763,6/16/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
384,L,CONS,1B03,DW,13,32,079254C-1B03-DW-1332-024-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1B03 - AROUND EQUIPMENT -
AREA 1B03A05-04 FROM EL.
109000 TO 111800",0,IFC1,T-TP-PTJ-00758,6/1/2023,Final,,,,,,,,,,√,,,,,,,,,,,,
