index,category,Document No.,Document Title
62,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
63,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
64,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
65,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
66,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
67,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
68,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
69,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
70,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
71,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
72,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
73,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
74,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
75,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
76,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
77,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
78,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
79,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
80,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
81,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
82,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
83,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
84,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
85,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
86,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
87,NM,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
88,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
89,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
90,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
91,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
92,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
93,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
94,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
95,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
96,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
97,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
98,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
99,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
100,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
101,NM,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITINGREPORT
102,NM,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
103,NM,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
104,NM,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
105,NM,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
106,NM,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
107,NM,079254C-0000-NM-1623-001,ELECTRICAL CABLE DRUM COMPOSITION
108,NM,079254C-0000-NM-1623-001,ELECTRICAL CABLE DRUM COMPOSITION
109,NM,079254C-0000-NM-1623-001,ELECTRICAL CABLE DRUM COMPOSITION
110,NM,079254C-0000-NM-6006-001,"LIST FOR ACOUSTICAL INSULATION
ON LINES AND ASSOCIATED
COMPONENTS"
111,NM,079254C-0000-NM-6006-001,"LIST FOR ACOUSTICAL INSULATION
ON LINES AND ASSOCIATED
COMPONENTS"
112,NM,079254C-E000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
113,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
114,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
115,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
116,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
117,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
118,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
119,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
120,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
121,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
122,MTO,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
123,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
124,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
125,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
126,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
127,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
128,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
129,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
130,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
131,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
132,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
133,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
134,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
135,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
136,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
137,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
138,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
139,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
140,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
141,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
142,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
143,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
144,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
145,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
146,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
147,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
148,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
149,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
150,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
151,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
152,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
153,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
154,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
155,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
156,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
157,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
158,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
159,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
160,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
161,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
162,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
163,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
164,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
165,PLG,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
166,PLG,079254C-0000-PLG-0309,OVERALL MASTER PROJECTPROGRESS REPORT
167,PLG,079254C-0000-PLG-0309,OVERALL MASTER PROJECTPROGRESS REPORT
168,PLG,079254C-0000-PLG-0309_A,OVERALL MASTER PROJECT PROGRESS REPORT BASELINE 2 (AS PER MOU2)
169,PP,079254C-0000-PP-0273,"CRITERIA OF PIPING SPOOLING
INTO 3D MODEL"
170,PP,079254C-0000-PP-0273,"CRITERIA OF PIPING SPOOLING
INTO 3D MODEL"
171,PP,079254C-0000-PP-0273,"CRITERIA OF PIPING SPOOLING
INTO 3D MODEL"
172,PP,079254C-0000-PP-0301,"Planning, scheduling, progress measurement/control & reporting procedure (Engineering, procurement and Construction Schedule)"
173,PP,079254C-0000-PP-0821,"SPOOL LABELLING AND BARCODE
APPLICATION PROCEDURE"
174,PP,079254C-0000-PP-0821,"SPOOL LABELLING AND BARCODE
APPLICATION PROCEDURE"
175,PP,079254C-0000-PP-0877,PERSONNEL TRANSPORTATION PROCEDURE IN EGYPT
176,PP,079254C-0000-PP-0877,PERSONNEL TRANSPORTATION PROCEDURE IN EGYPT
177,PP,079254C-0000-PP-0910,"CONSTRUC., PRECOMMIS. COMMISS.
START-UP,INITIAL OPERATION
PERFORMANCE TEST - SPLIPT OF
SCOPE OF WORK AND
RESPONSIBILITY"
178,PP,079254C-0000-PP-0910,"CONSTRUC., PRECOMMIS. COMMISS.
START-UP,INITIAL OPERATION
PERFORMANCE TEST - SPLIPT OF
SCOPE OF WORK AND
RESPONSIBILITY"
179,QCP,079254C-0000-QCP-1380-001,"QUALITY CONTROL PLAN - PIPING
SUPPORT PREFABRICATION"
180,QCP,079254C-0000-QCP-1630-001,"QUALITY CONTROL PLAN -
ELECTRICAL INSTALLATION POWER
SYSTEM"
181,QCP,079254C-0000-QCP-1630-001,"QUALITY CONTROL PLAN -
ELECTRICAL INSTALLATION POWER
SYSTEM"
182,QCP,079254C-0000-QCP-1630-001,"QUALITY CONTROL PLAN -
ELECTRICAL INSTALLATION POWER
SYSTEM"
183,QCP,079254C-0000-QCP-1714-001,"QUALITY CONTROL PLAN FOR INSTALLATION OF CONCRETE PITS, CABLE DUCT BANKS, TRENCHES / DITCHES, CABLE TRENCHES DIRECT BURIED, BOX CULVERTS AND LIGHTING POLES FOUNDATIONS"
184,QCP,079254C-0000-QCP-1714-001,"QUALITY CONTROL PLAN FOR INSTALLATION OF CONCRETE PITS, CABLE DUCT BANKS, TRENCHES / DITCHES, CABLE TRENCHES DIRECT BURIED, BOX CULVERTS AND LIGHTING POLES FOUNDATIONS"
185,RR,079254C-0000-RR-0802,CONSTRUCTABILITY WORKSHOP REPORT EPC PHASE FIRST CONSTRUCTABILITY WORKSHOP
186,RR,079254C-0000-RR-0803,"CONSTRUCTABILITY WORKSHOP
REPORT - EPC PHASE - SECOND
CONSTRUCTABILITY WORKSHOP"
187,RR,079254C-0000-RR-0803,"CONSTRUCTABILITY WORKSHOP
REPORT - EPC PHASE - SECOND
CONSTRUCTABILITY WORKSHOP"
188,RR,079254C-0000-RR-0804,"CONSTRUCTABILITY WORKSHOP
REPORT - EPC PHASE - SECOND
CONSTRUCTABILITY WORKSHOP"
189,EXP,079254C-0000-EXP-0811-001-002,"EXPEDITING REPORT FOR MR-0811-
001 - SUMITOMO - JAPAN"
190,RK,079254C-0000-RK-0008-001,"CONSTRUCTION BI-WEEKLY REPORT AS OF MARCH 25TH, 2022"
191,RK,079254C-0000-RK-0008-002,"CONSTRUCTION BI-WEEKLY REPORT
AS OF APRIL 15TH, 2022"
192,RK,079254C-0000-RK-0009-001,"WEEKLY CONSTRUCTION REPORT
NÂ°01 AS OF 19TH AUGUST 2022"
193,RK,079254C-0000-RK-0009-002,"WEEKLY CONSTRUCTION REPORT
NÂ°02 AS OF 26TH AUGUST 2022"
194,RK,079254C-0000-RK-0009-003,"WEEKLY CONSTRUCTION REPORT
NÂ°03 AS OF 02ND SEPTEMBER 2022"
195,RK,079254C-0000-RK-0009-004,"WEEKLY CONSTRUCTION REPORT
NÂ°04 AS OF 09TH SEPTEMBER 2022"
196,RK,079254C-0000-RK-0009-005,"WEEKLY CONSTRUCTION REPORT
NÂ°04 AS OF 16TH SEPTEMBER 2022"
197,RK,079254C-0000-RK-0009-006,"WEEKLY CONSTRUCTION REPORT
NÂ°04 AS OF 23RD SEPTEMBER 2022"
198,RK,079254C-0000-RK-0009-007,"WEEKLY CONSTRUCTION REPORT
NÂ°07 AS OF 30TH SEPTEMBER 2022"
199,RK,079254C-0000-RK-0009-008,"WEEKLY CONSTRUCTION REPORT
NÂ°08 AS OF 07TH OCTOBER 2022"
200,RK,079254C-0000-RK-0009-009,"WEEKLY CONSTRUCTION REPORT
NÂ°09 AS OF 14TH OCTOBER 2022"
201,RK,079254C-0000-RK-0009-010,"WEEKLY CONSTRUCTION REPORT
NÂ°10 AS OF 21ST OCTOBER 2022"
202,RK,079254C-0000-RK-0009-011,"WEEKLY CONSTRUCTION REPORT
NÂ°11 AS OF 28TH OCTOBER 2022"
203,RK,079254C-0000-RK-0009-012,"WEEKLY CONSTRUCTION REPORT
NÂ°12 AS OF 04TH NOVEMBER 2022"
204,RK,079254C-0000-RK-0009-013,"WEEKLY CONSTRUCTION REPORT
NÂ°13 AS OF 11TH NOVEMBER 2022"
205,RK,079254C-0000-RK-0009-014,"WEEKLY CONSTRUCTION REPORT
NÂ°14 AS OF 18TH NOVEMBER 2022"
206,RK,079254C-0000-RK-0009-015,"WEEKLY CONSTRUCTION REPORT
NÂ°15 AS OF 25TH NOVEMBER 2022"
207,RK,079254C-0000-RK-0009-016,"WEEKLY CONSTRUCTION REPORT
NÂ°16 AS OF 02ND DECEMBER 2022"
208,RK,079254C-0000-RK-0009-017,"WEEKLY CONSTRUCTION REPORT
NÂ°17 AS OF 09TH DECEMBER 2022"
209,RK,079254C-0000-RK-0009-018,"WEEKLY CONSTRUCTION REPORT
NÂ°18 AS OF 16TH DECEMBER 2022"
210,RK,079254C-0000-RK-0009-019,"WEEKLY CONSTRUCTION REPORT
NÂ°19 AS OF 23RD DECEMBER 2022"
211,RK,079254C-0000-RK-0009-020,"WEEKLY CONSTRUCTION REPORT
NÂ°20 AS O OF 30TH DECEMBER
2022"
212,RK,079254C-0000-RK-0009-021,"WEEKLY CONSTRUCTION REPORT
NÂ°21 AS O OF 06TH JANUARY 2023"
213,RK,079254C-0000-RK-0009-022,"WEEKLY CONSTRUCTION REPORT
NÂ°22 AS O OF 13TH JANUARY 2023"
214,RK,079254C-0000-RK-0009-023,"WEEKLY CONSTRUCTION REPORT
NÂ°22 AS O OF 13TH JANUARY 2023"
215,RK,079254C-0000-RK-0009-024,"WEEKLY CONSTRUCTION REPORT
NÂ°24 AS O OF 27TH JANUARY 2023"
216,RK,079254C-0000-RK-0009-025,"WEEKLY CONSTRUCTION REPORT
NÂ°25 AS OF 03RD FEBRUARY 2023"
217,RK,079254C-0000-RK-0009-026,"WEEKLY CONSTRUCTION REPORT
NÂ°26 AS OF 10TH FEBRUARY 2023"
218,RK,079254C-0000-RK-0009-027,"WEEKLY CONSTRUCTION REPORT
NÂ°27 AS OF 17TH FEBRUARY 2023"
219,RK,079254C-0000-RK-0009-028,"WEEKLY CONSTRUCTION REPORT
NÂ°28 AS OF 24TH FEBRUARY 2023"
220,RK,079254C-0000-RK-0009-029,WEEKLY CONSTRUCTION REPORT NÂ°29 as of 03rd March 2023
221,RK,079254C-0000-RK-0009-030,WEEKLY CONSTRUCTION REPORT NÂ°30 AS OF 10TH MARCH 2023
222,RK,079254C-0000-RK-0009-031,WEEKLY CONSTRUCTION REPORT NÂ°31 AS OF 17 TH MARCH 2023
223,RK,079254C-0000-RK-0009-032,WEEKLY CONSTRUCTION REPORT NÂ°30 AS OF 24TH MARCH 2023
224,RK,079254C-0000-RK-0009-033,"WEEKLY CONSTRUCTION REPORT
NÂ°33 AS OF 31ST MARCH 2023"
225,RK,079254C-0000-RK-0009-034,"WEEKLY CONSTRUCTION REPORT
NÂ°34 AS OF 07TH APRIL 2023"
226,RK,079254C-0000-RK-0009-035,WEEKLY CONSTRUCTION REPORT NÂ°35 AS OF 14TH APRIL 2023
227,RK,079254C-0000-RK-0009-036,WEEKLY CONSTRUCTION REPORT NÂ°36 as of 21st April 2023
228,RK,079254C-0000-RK-0009-037,WEEKLY CONSTRUCTION REPORT NÂ°37 AS OF 28TH APRIL 2023
229,RK,079254C-0000-RK-0009-038,WEEKLY CONSTRUCTION REPORT NÂ°38 AS OF 05TH MAY
230,RK,079254C-0000-RK-0009-039,WEEKLY CONSTRUCTION REPORT NÂ°39 AS OF 12TH MAY 2023
231,RK,079254C-0000-RK-0009-040,WEEKLY CONSTRUCTION REPORT NÂ°40 AS OF 19TH MAY 2023
232,RK,079254C-0000-RK-0009-041,WEEKLY CONSTRUCTION REPORT NÂ°41 AS OF 26TH MAY 2023
233,RK,079254C-0000-RK-0009-042,WEEKLY CONSTRUCTION REPORT NÂ°42 AS OF 02ND JUNE 2023
234,RK,079254C-0000-RK-0009-043,WEEKLY CONSTRUCTION REPORT NÂ°43 AS OF 09TH JUNE 2023
235,RK,079254C-0000-RK-0009-044,"WEEKLY CONSTRUCTION REPORT
NÂ°44 AS OF 16TH JUNE 2023"
236,RK,079254C-0000-RK-0009-045,WEEKLY CONSTRUCTION REPORT NÂ°45 AS OF 23TH JUNE 2023
237,RK,079254C-0000-RK-0009-046,"WEEKLY CONSTRUCTION REPORT
NÂ°46 AS OF 30TH JUNE 2023"
238,RK,079254C-0000-RK-0009-047,WEEKLY CONSTRUCTION REPORT NÂ°47 AS OF 07TH JULY 2023
