index,Document No.,Document Title
21,079254C-0000-DW-1576-007,INSTRUMENT SUPPORTS - TYPICAL MOUNTING DETAILS
22,079254C-0000-DW-6810-001-01,"EQUIPMENT INTERNAL
TRANSPORTATION PLAN -
PRELIMINARY STUDY"
23,nan,Temporary Job Site Facilities (TCF) 82
24,079254C-0000-DW-8260-001-01,"TEMPORARY CONSTRUCTION FACILITIES OFFICES, WAREHOUSES & CAMPS GENERAL LAYOUT"
25,079254C-0000-DW-8260-002-01,"TEMPORARY CONSTRUCTION FACILITIES OFFICES, WAREHOUSE AND CAMP GENERAL LAYOUT"
26,079254C-0000-DW-8260-002-01,"TEMPORARY CONSTRUCTION FACILITIES OFFICES, WAREHOUSE AND CAMP GENERAL LAYOUT"
27,079254C-0000-DW-8260-003-01,TEMPORARY CONSTRUCTION FACILITIES COMMON EXTERNAL WORKS &TIE - INS POINTS
28,079254C-0000-ML-0603,TRANSPORTATION PLAN
29,079254C-0000-ML-0603,TRANSPORTATION PLAN
30,079254C-0000-ML-0603,TRANSPORTATION PLAN
31,079254C-0000-ML-0603,TRANSPORTATION PLAN
32,079254C-0000-JSC-1393-016,"JOB SPECIFICATION FOR
DEBLOCKING AND/OR ADJUSTMENT
OF PIPING & EQUIPMENT SPECIAL
SUPPORTS (EX 079254C-0000-MS-
1393-016)"
33,079254C-0000-JSD-1300-009,"JSD FOR LOADS ON PIPERACKS
STRUCTURES - ISOLATED SUPPORTS
- PIPING SUPPORTS"
34,079254C-0000-JSD-1300-010,"JSD FOR AUXILIARY PIPING
SUPPORTS"
35,079254C-0000-JSD-1300-010,"JSD FOR AUXILIARY PIPING
SUPPORTS"
36,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
37,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
38,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
39,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
40,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
41,079254C-0000-JSD-1410-004,"PERMANENT DRAINAGE TRENCHES AND WATER PONDS - ENGINEERING
RECOMMENDATION FOR DETAIL DESIGN PHASE"
42,079254C-0000-JSS-1386-001,"GENERAL SUPPLY RULES FOR
DYNAMIC PIPING SUPPORTS"
43,079254C-0000-JSS-1621-001,"GENERAL SUPPLY RULES FOR
ELECTRICAL POWER AND CONTROL
CABLES"
44,079254C-0000-JSS-1621-001,"GENERAL SUPPLY RULES FOR
ELECTRICAL POWER AND CONTROL
CABLES"
45,079254C-0000-JSS-1641-001,GENERAL SUPPLY RULES FOR THREE PHASE OIL IMMERSED TYPE POWER TRANSFORMERS (EX JSD 1641-001)
46,079254C-0000-JSS-6300-004,JOB SPECIFICATION FOR SUPPLY POSITIVE ALLOY MATERIAL IDENTIFICATION OF EQUIPMENT AND PIPING
47,nan,Transport & Transit 67
48,nan,LIST AND REPORTS NM
49,079254C-0000-NM-0051-001,"PRESSURE PIPING INTERFACE
POINT REGISTER WITH OWNER"
50,079254C-0000-NM-0051-001,"PRESSURE PIPING INTERFACE
POINT REGISTER WITH OWNER"
51,079254C-0000-NM-0051-002,"CIVIL INTERFACE POINT REGISTER
WITH OWNERâ€™S UNITS"
52,079254C-0000-NM-0051-002,"CIVIL INTERFACE POINT REGISTER
WITH OWNERâ€™S UNITS"
53,079254C-0000-NM-0051-003,"ELECTRICAL INTERFACE POINT
REGISTER WITH OWNER'S UNITS"
54,079254C-0000-NM-0051-004,"INSTRUMENTATION & AUTOMATION
INTERFACE POINT REGISTER
WITH OWNER'S UNITS"
55,079254C-0000-NM-0051-004,"INSTRUMENTATION & AUTOMATION
INTERFACE POINT REGISTER
WITH OWNER'S UNITS"
56,079254C-0000-NM-0051-005,"TELECOM AND SECURITY INTERFACE
POINT REGISTER WITH OWNERâ€™S
UNITS"
57,079254C-0000-NM-0051-005,"TELECOM AND SECURITY INTERFACE
POINT REGISTER WITH OWNERâ€™S
UNITS"
58,079254C-0000-NM-0051-006,"PRESSURE PIPING INTERFACE
POINT REGISTER WITH LOCAL
SUBCONTRACTOR"
59,079254C-0000-NM-0051-007,"CIVIL INTERFACE POINT REGISTER
WITH LOCAL SUBCONTRACTOR'S
UNITS"
60,079254C-0000-NM-0051-008,"ELECTRICAL INTERFACE POINT
REGISTER WITH LOCAL
SUBCONTRACTOR'S UNITS"
61,079254C-0000-NM-0051-008,"ELECTRICAL INTERFACE POINT
REGISTER WITH LOCAL
SUBCONTRACTOR'S UNITS"
62,079254C-0000-NM-0051-009,"INSTRUMENTATION & AUTOMATION
INTERFACE POINT REGISTER
WITH LOCAL SUBCONTRACTOR'S
UNITS"
63,079254C-0000-NM-0051-009,"INSTRUMENTATION & AUTOMATION
INTERFACE POINT REGISTER
WITH LOCAL SUBCONTRACTOR'S
UNITS"
64,079254C-0000-NM-0051-010,"TELECOM AND SECURITY INTERFACE
POINT REGISTER WITH LOCAL
CONTRACTOR UNITS"
65,079254C-0000-NM-0051-010,"TELECOM AND SECURITY INTERFACE
POINT REGISTER WITH LOCAL
CONTRACTOR UNITS"
66,nan,Monthly Expediting Report for Itemized Material 603
67,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
68,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
69,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
70,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
71,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
72,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
73,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
74,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
75,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
76,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
77,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
78,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
79,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
80,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
81,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
82,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
83,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
84,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
85,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
86,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
87,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
88,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
89,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
90,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
91,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
92,079254C-0000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
93,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
94,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
95,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
96,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
97,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
98,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
99,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
100,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
101,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
102,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
103,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
104,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
105,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITING REPORT
106,079254C-0000-NM-0603,MONTHLY COMPLETE EXPEDITINGREPORT
107,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
108,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
109,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
110,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
111,079254C-0000-NM-1350-004,SPECIAL PIPING COMPONENT LIST
112,079254C-0000-NM-1623-001,ELECTRICAL CABLE DRUM COMPOSITION
113,079254C-0000-NM-1623-001,ELECTRICAL CABLE DRUM COMPOSITION
114,079254C-0000-NM-1623-001,ELECTRICAL CABLE DRUM COMPOSITION
115,079254C-0000-NM-6006-001,"LIST FOR ACOUSTICAL INSULATION
ON LINES AND ASSOCIATED
COMPONENTS"
116,079254C-0000-NM-6006-001,"LIST FOR ACOUSTICAL INSULATION
ON LINES AND ASSOCIATED
COMPONENTS"
117,ENPPI ,Monthly Expediting Report for Itemized Material 603
118,079254C-E000-NM-0603,"MONTHLY COMPLETE EXPEDITING
REPORT"
119,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
120,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
121,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
122,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
123,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
124,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
125,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
126,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
127,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
128,079254C-0000-MTO-1313-001,PIPING SUPPORT LISTS AND BILL OF MATERIAL - UNITS IN T.ENâ€™S SOW
129,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
130,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
131,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
132,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
133,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
134,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
135,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
136,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
137,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
138,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
139,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
140,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
141,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
142,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
143,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
144,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
145,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
146,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
147,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
148,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
149,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
150,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
151,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
152,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
153,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
154,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
155,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
156,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
157,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
158,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
159,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
160,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
161,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
162,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
163,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
164,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
165,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
166,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
167,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
168,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
169,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
170,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
171,079254C-0000-PLG-0309,"OVERALL MASTER PROJECT
PROGRESS REPORT"
172,079254C-0000-PLG-0309,OVERALL MASTER PROJECTPROGRESS REPORT
173,079254C-0000-PLG-0309,OVERALL MASTER PROJECTPROGRESS REPORT
174,079254C-0000-PLG-0309_A,OVERALL MASTER PROJECT PROGRESS REPORT BASELINE 2 (AS PER MOU2)
175,079254C-0000-PP-0273,"CRITERIA OF PIPING SPOOLING
INTO 3D MODEL"
176,079254C-0000-PP-0273,"CRITERIA OF PIPING SPOOLING
INTO 3D MODEL"
177,079254C-0000-PP-0273,"CRITERIA OF PIPING SPOOLING
INTO 3D MODEL"
178,079254C-0000-PP-0301,"Planning, scheduling, progress measurement/control & reporting procedure (Engineering, procurement and Construction Schedule)"
179,nan,Safety Regulations at Work site First aid Post 556
180,079254C-0000-PP-0821,"SPOOL LABELLING AND BARCODE
APPLICATION PROCEDURE"
181,079254C-0000-PP-0821,"SPOOL LABELLING AND BARCODE
APPLICATION PROCEDURE"
182,079254C-0000-PP-0877,PERSONNEL TRANSPORTATION PROCEDURE IN EGYPT
183,079254C-0000-PP-0877,PERSONNEL TRANSPORTATION PROCEDURE IN EGYPT
184,079254C-0000-PP-0910,"CONSTRUC., PRECOMMIS. COMMISS.
START-UP,INITIAL OPERATION
PERFORMANCE TEST - SPLIPT OF
SCOPE OF WORK AND
RESPONSIBILITY"
185,079254C-0000-PP-0910,"CONSTRUC., PRECOMMIS. COMMISS.
START-UP,INITIAL OPERATION
PERFORMANCE TEST - SPLIPT OF
SCOPE OF WORK AND
RESPONSIBILITY"
186,079254C-0000-QCP-1380-001,"QUALITY CONTROL PLAN - PIPING
SUPPORT PREFABRICATION"
187,079254C-0000-QCP-1630-001,"QUALITY CONTROL PLAN -
ELECTRICAL INSTALLATION POWER
SYSTEM"
188,079254C-0000-QCP-1630-001,"QUALITY CONTROL PLAN -
ELECTRICAL INSTALLATION POWER
SYSTEM"
189,079254C-0000-QCP-1630-001,"QUALITY CONTROL PLAN -
ELECTRICAL INSTALLATION POWER
SYSTEM"
190,079254C-0000-QCP-1714-001,"QUALITY CONTROL PLAN FOR INSTALLATION OF CONCRETE PITS, CABLE DUCT BANKS, TRENCHES / DITCHES, CABLE TRENCHES DIRECT BURIED, BOX CULVERTS AND LIGHTING POLES FOUNDATIONS"
191,079254C-0000-QCP-1714-001,"QUALITY CONTROL PLAN FOR INSTALLATION OF CONCRETE PITS, CABLE DUCT BANKS, TRENCHES / DITCHES, CABLE TRENCHES DIRECT BURIED, BOX CULVERTS AND LIGHTING POLES FOUNDATIONS"
192,nan,REPORTS
193,079254C-0000-RR-0802,CONSTRUCTABILITY WORKSHOP REPORT EPC PHASE FIRST CONSTRUCTABILITY WORKSHOP
194,079254C-0000-RR-0803,"CONSTRUCTABILITY WORKSHOP
REPORT - EPC PHASE - SECOND
CONSTRUCTABILITY WORKSHOP"
195,079254C-0000-RR-0803,"CONSTRUCTABILITY WORKSHOP
REPORT - EPC PHASE - SECOND
CONSTRUCTABILITY WORKSHOP"
196,079254C-0000-RR-0804,"CONSTRUCTABILITY WORKSHOP
REPORT - EPC PHASE - SECOND
CONSTRUCTABILITY WORKSHOP"
197,079254C-0000-EXP-0811-001-002,"EXPEDITING REPORT FOR MR-0811-
001 - SUMITOMO - JAPAN"
198,079254C-0000-RK-0008-001,"CONSTRUCTION BI-WEEKLY REPORT AS OF MARCH 25TH, 2022"
199,079254C-0000-RK-0008-002,"CONSTRUCTION BI-WEEKLY REPORT
AS OF APRIL 15TH, 2022"
200,079254C-0000-RK-0009-001,"WEEKLY CONSTRUCTION REPORT
NÂ°01 AS OF 19TH AUGUST 2022"
201,079254C-0000-RK-0009-002,"WEEKLY CONSTRUCTION REPORT
NÂ°02 AS OF 26TH AUGUST 2022"
202,079254C-0000-RK-0009-003,"WEEKLY CONSTRUCTION REPORT
NÂ°03 AS OF 02ND SEPTEMBER 2022"
203,079254C-0000-RK-0009-004,"WEEKLY CONSTRUCTION REPORT
NÂ°04 AS OF 09TH SEPTEMBER 2022"
204,079254C-0000-RK-0009-005,"WEEKLY CONSTRUCTION REPORT
NÂ°04 AS OF 16TH SEPTEMBER 2022"
205,079254C-0000-RK-0009-006,"WEEKLY CONSTRUCTION REPORT
NÂ°04 AS OF 23RD SEPTEMBER 2022"
206,079254C-0000-RK-0009-007,"WEEKLY CONSTRUCTION REPORT
NÂ°07 AS OF 30TH SEPTEMBER 2022"
207,079254C-0000-RK-0009-008,"WEEKLY CONSTRUCTION REPORT
NÂ°08 AS OF 07TH OCTOBER 2022"
208,079254C-0000-RK-0009-009,"WEEKLY CONSTRUCTION REPORT
NÂ°09 AS OF 14TH OCTOBER 2022"
209,079254C-0000-RK-0009-010,"WEEKLY CONSTRUCTION REPORT
NÂ°10 AS OF 21ST OCTOBER 2022"
210,079254C-0000-RK-0009-011,"WEEKLY CONSTRUCTION REPORT
NÂ°11 AS OF 28TH OCTOBER 2022"
211,079254C-0000-RK-0009-012,"WEEKLY CONSTRUCTION REPORT
NÂ°12 AS OF 04TH NOVEMBER 2022"
212,079254C-0000-RK-0009-013,"WEEKLY CONSTRUCTION REPORT
NÂ°13 AS OF 11TH NOVEMBER 2022"
213,079254C-0000-RK-0009-014,"WEEKLY CONSTRUCTION REPORT
NÂ°14 AS OF 18TH NOVEMBER 2022"
214,079254C-0000-RK-0009-015,"WEEKLY CONSTRUCTION REPORT
NÂ°15 AS OF 25TH NOVEMBER 2022"
215,079254C-0000-RK-0009-016,"WEEKLY CONSTRUCTION REPORT
NÂ°16 AS OF 02ND DECEMBER 2022"
216,079254C-0000-RK-0009-017,"WEEKLY CONSTRUCTION REPORT
NÂ°17 AS OF 09TH DECEMBER 2022"
217,079254C-0000-RK-0009-018,"WEEKLY CONSTRUCTION REPORT
NÂ°18 AS OF 16TH DECEMBER 2022"
218,079254C-0000-RK-0009-019,"WEEKLY CONSTRUCTION REPORT
NÂ°19 AS OF 23RD DECEMBER 2022"
219,079254C-0000-RK-0009-020,"WEEKLY CONSTRUCTION REPORT
NÂ°20 AS O OF 30TH DECEMBER
2022"
220,079254C-0000-RK-0009-021,"WEEKLY CONSTRUCTION REPORT
NÂ°21 AS O OF 06TH JANUARY 2023"
221,079254C-0000-RK-0009-022,"WEEKLY CONSTRUCTION REPORT
NÂ°22 AS O OF 13TH JANUARY 2023"
222,079254C-0000-RK-0009-023,"WEEKLY CONSTRUCTION REPORT
NÂ°22 AS O OF 13TH JANUARY 2023"
223,079254C-0000-RK-0009-024,"WEEKLY CONSTRUCTION REPORT
NÂ°24 AS O OF 27TH JANUARY 2023"
224,079254C-0000-RK-0009-025,"WEEKLY CONSTRUCTION REPORT
NÂ°25 AS OF 03RD FEBRUARY 2023"
225,079254C-0000-RK-0009-026,"WEEKLY CONSTRUCTION REPORT
NÂ°26 AS OF 10TH FEBRUARY 2023"
226,079254C-0000-RK-0009-027,"WEEKLY CONSTRUCTION REPORT
NÂ°27 AS OF 17TH FEBRUARY 2023"
227,079254C-0000-RK-0009-028,"WEEKLY CONSTRUCTION REPORT
NÂ°28 AS OF 24TH FEBRUARY 2023"
228,079254C-0000-RK-0009-029,WEEKLY CONSTRUCTION REPORT NÂ°29 as of 03rd March 2023
229,079254C-0000-RK-0009-030,WEEKLY CONSTRUCTION REPORT NÂ°30 AS OF 10TH MARCH 2023
230,079254C-0000-RK-0009-031,WEEKLY CONSTRUCTION REPORT NÂ°31 AS OF 17 TH MARCH 2023
231,079254C-0000-RK-0009-032,WEEKLY CONSTRUCTION REPORT NÂ°30 AS OF 24TH MARCH 2023
232,079254C-0000-RK-0009-033,"WEEKLY CONSTRUCTION REPORT
NÂ°33 AS OF 31ST MARCH 2023"
233,079254C-0000-RK-0009-034,"WEEKLY CONSTRUCTION REPORT
NÂ°34 AS OF 07TH APRIL 2023"
234,079254C-0000-RK-0009-035,WEEKLY CONSTRUCTION REPORT NÂ°35 AS OF 14TH APRIL 2023
235,079254C-0000-RK-0009-036,WEEKLY CONSTRUCTION REPORT NÂ°36 as of 21st April 2023
236,079254C-0000-RK-0009-037,WEEKLY CONSTRUCTION REPORT NÂ°37 AS OF 28TH APRIL 2023
237,079254C-0000-RK-0009-038,WEEKLY CONSTRUCTION REPORT NÂ°38 AS OF 05TH MAY
238,079254C-0000-RK-0009-039,WEEKLY CONSTRUCTION REPORT NÂ°39 AS OF 12TH MAY 2023
239,079254C-0000-RK-0009-040,WEEKLY CONSTRUCTION REPORT NÂ°40 AS OF 19TH MAY 2023
240,079254C-0000-RK-0009-041,WEEKLY CONSTRUCTION REPORT NÂ°41 AS OF 26TH MAY 2023
241,079254C-0000-RK-0009-042,WEEKLY CONSTRUCTION REPORT NÂ°42 AS OF 02ND JUNE 2023
242,079254C-0000-RK-0009-043,WEEKLY CONSTRUCTION REPORT NÂ°43 AS OF 09TH JUNE 2023
243,079254C-0000-RK-0009-044,"WEEKLY CONSTRUCTION REPORT
NÂ°44 AS OF 16TH JUNE 2023"
244,079254C-0000-RK-0009-045,WEEKLY CONSTRUCTION REPORT NÂ°45 AS OF 23TH JUNE 2023
245,079254C-0000-RK-0009-046,"WEEKLY CONSTRUCTION REPORT
NÂ°46 AS OF 30TH JUNE 2023"
246,079254C-0000-RK-0009-047,WEEKLY CONSTRUCTION REPORT NÂ°47 AS OF 07TH JULY 2023
247,079254C-0000-RK-0009-048,WEEKLY CONSTRUCTION REPORT NÂ°48 AS OF 14TH JULY 2023
248,079254C-0000-RK-0009-049,WEEKLY CONSTRUCTION REPORT NÂ°49 AS OF 21ST JULY 2023
249,079254C-0000-RK-0009-050,WEEKLY CONSTRUCTION REPORT NÂ°50 AS OF 28TH JULY 2023
250,079254C-0000-RK-0009-051,WEEKLY CONSTRUCTION REPORT NÂ°51 AS OF 04TH AUG 2023
251,079254C-0000-RK-0009-052,WEEKLY CONSTRUCTION REPORT NÂ°52 AS OF 11TH AUG 2023
252,079254C-0000-RK-0009-053,WEEKLY CONSTRUCTION REPORT NÂ°53 AS OF 18TH AUG 2023
253,079254C-0000-RK-0009-054,WEEKLY CONSTRUCTION REPORT NÂ°54 AS OF 25TH AUG 2023
254,079254C-0000-RK-0009-055,WEEKLY CONSTRUCTION REPORT NÂ°55 AS OF 01ST SEPT 2023
255,079254C-0000-RK-0009-056,WEEKLY CONSTRUCTION REPORT NÂ°56 AS OF 08TH SEPT 2023
256,079254C-0000-RK-0009-057,WEEKLY CONSTRUCTION REPORT NÂ°57 AS OF 15TH SEPT 2023
257,079254C-0000-RK-0009-058,WEEKLY CONSTRUCTION REPORT NÂ°57 AS OF 22TH SEPT 2023
